,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
172011,TDS LANDFILL,2017-01-03 12:39:00,GARBAGE COLLECTIONS,7700,1,1
113197,TDS LANDFILL,2017-01-03 12:40:00,GARBAGE COLLECTIONS,24500,1,1
338417,TDS LANDFILL,2017-01-03 12:48:00,GARBAGE COLLECTIONS,20480,1,1
229287,TDS LANDFILL,2017-01-03 12:50:00,GARBAGE COLLECTIONS,23740,1,1
150004,TDS LANDFILL,2017-01-03 12:53:00,GARBAGE COLLECTIONS,7460,1,1
324680,TDS LANDFILL,2017-01-03 12:56:00,GARBAGE COLLECTIONS,18500,1,1
508009,TDS LANDFILL,2017-01-03 12:57:00,GARBAGE COLLECTIONS,17000,1,1
506963,TDS LANDFILL,2017-01-03 12:59:00,GARBAGE COLLECTIONS,19560,1,1
434331,ONION CREEK,2017-01-03 13:00:00,SWEEPING,0,5,4
248452,TDS LANDFILL,2017-01-03 13:00:00,GARBAGE COLLECTIONS,22540,1,1
185767,TDS - MRF,2017-01-03 13:01:00,RECYCLING - SINGLE STREAM,14440,4,2
163684,HORNSBY BEND,2017-01-03 13:04:00,YARD TRIMMING,17120,3,3
99591,TDS LANDFILL,2017-01-03 13:07:00,GARBAGE COLLECTIONS,24000,1,1
93506,HORNSBY BEND,2017-01-03 13:07:00,BRUSH,10360,3,6
148543,HORNSBY BEND,2017-01-03 13:09:00,YARD TRIMMING,15160,3,3
47169,TDS LANDFILL,2017-01-03 13:11:00,GARBAGE COLLECTIONS,12260,1,1
236163,TDS LANDFILL,2017-01-03 13:18:00,GARBAGE COLLECTIONS,24080,1,1
54884,TDS - MRF,2017-01-03 13:19:00,RECYCLING - SINGLE STREAM,2080,4,2
494253,TDS - MRF,2017-01-03 13:20:00,RECYCLING - SINGLE STREAM,13960,4,2
118789,HORNSBY BEND,2017-01-03 13:24:00,YARD TRIMMING,2560,3,3
370389,TDS - MRF,2017-01-03 13:24:00,RECYCLING - SINGLE STREAM,16520,4,2
83775,TDS LANDFILL,2017-01-03 13:26:00,GARBAGE COLLECTIONS,27100,1,1
